"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年4月24日","3,201.61","3,203.56","3,210.65","3,156.61","27.49B","0.09%"
"2019年4月23日","3,198.59","3,211.87","3,231.58","3,186.76","32.84B","-0.51%"
"2019年4月22日","3,215.04","3,278.49","3,279.49","3,206.88","35.32B","-1.70%"
"2019年4月19日","3,270.80","3,250.15","3,274.33","3,226.81","31.52B","0.63%"
"2019年4月18日","3,250.20","3,261.07","3,271.39","3,241.83","32.55B","-0.40%"
"2019年4月17日","3,263.12","3,250.15","3,275.33","3,239.80","35.75B","0.29%"
"2019年4月16日","3,253.60","3,164.40","3,253.60","3,153.21","35.79B","2.39%"
"2019年4月15日","3,177.79","3,233.46","3,253.98","3,177.27","34.88B","-0.34%"
"2019年4月12日","3,188.63","3,184.86","3,199.28","3,168.04","28.98B","-0.04%"
"2019年4月11日","3,189.96","3,241.55","3,254.13","3,185.55","35.30B","-1.60%"
"2019年4月10日","3,241.93","3,224.65","3,264.78","3,204.88","38.01B","0.07%"
"2019年4月9日","3,239.66","3,240.39","3,251.65","3,215.70","36.42B","-0.16%"
"2019年4月8日","3,244.81","3,271.27","3,288.45","3,210.52","50.45B","-0.05%"
"2019年4月4日","3,246.57","3,233.69","3,254.14","3,216.85","46.91B","0.94%"
"2019年4月3日","3,216.30","3,159.15","3,219.26","3,152.33","43.05B","1.24%"
"2019年4月2日","3,176.82","3,183.27","3,193.27","3,164.91","44.71B","0.20%"
"2019年4月1日","3,170.36","3,111.66","3,176.62","3,111.66","46.61B","2.58%"
"2019年3月29日","3,090.76","3,000.68","3,093.03","2,999.99","37.51B","3.20%"
"2019年3月28日","2,994.94","3,009.80","3,025.78","2,991.78","28.81B","-0.92%"
"2019年3月27日","3,022.72","3,012.26","3,022.76","2,987.77","29.14B","0.85%"
"2019年3月26日","2,997.10","3,057.56","3,062.69","2,988.49","35.35B","-1.51%"
"2019年3月25日","3,043.03","3,058.80","3,087.00","3,041.95","38.03B","-1.97%"
"2019年3月22日","3,104.15","3,100.73","3,107.28","3,064.88","36.48B","0.09%"
"2019年3月21日","3,101.45","3,094.12","3,125.02","3,086.85","41.43B","0.35%"
"2019年3月20日","3,090.64","3,084.17","3,102.52","3,053.45","35.86B","-0.01%"
"2019年3月19日","3,090.97","3,099.90","3,113.43","3,076.36","35.09B","-0.18%"
"2019年3月18日","3,096.42","3,027.80","3,096.42","3,009.51","39.78B","2.47%"
"2019年3月15日","3,021.75","3,000.88","3,048.12","2,999.43","34.12B","1.04%"
"2019年3月14日","2,990.68","3,013.60","3,041.16","2,968.82","37.31B","-1.20%"
"2019年3月13日","3,026.95","3,062.33","3,065.29","3,013.93","45.32B","-1.09%"
"2019年3月12日","3,060.31","3,049.08","3,093.39","3,029.90","51.12B","1.10%"
"2019年3月11日","3,026.99","2,969.08","3,028.25","2,963.58","42.62B","1.92%"
"2019年3月8日","2,969.86","3,038.34","3,075.05","2,969.58","57.79B","-4.40%"
"2019年3月7日","3,106.42","3,103.67","3,129.94","3,074.98","58.38B","0.14%"
"2019年3月6日","3,102.10","3,060.43","3,103.83","3,050.11","55.50B","1.57%"
"2019年3月5日","3,054.25","3,019.88","3,054.96","3,009.45","42.41B","0.88%"
"2019年3月4日","3,027.58","3,015.94","3,090.80","3,006.94","52.56B","1.12%"
"2019年3月1日","2,994.01","2,954.40","2,994.01","2,930.83","34.58B","1.80%"
"2019年2月28日","2,940.95","2,950.05","2,965.30","2,930.20","35.02B","-0.44%"
"2019年2月27日","2,953.82","2,939.93","2,997.49","2,924.64","47.50B","0.42%"
"2019年2月26日","2,941.52","2,969.10","2,995.68","2,938.62","56.56B","-0.67%"
"2019年2月25日","2,961.28","2,838.39","2,961.80","2,838.39","52.87B","5.60%"
"2019年2月22日","2,804.23","2,749.46","2,804.23","2,736.33","30.15B","1.91%"
"2019年2月21日","2,751.80","2,759.94","2,794.01","2,744.98","29.87B","-0.34%"
"2019年2月20日","2,761.22","2,761.06","2,767.41","2,739.98","24.60B","0.20%"
"2019年2月19日","2,755.65","2,759.50","2,780.78","2,737.59","28.80B","0.05%"
"2019年2月18日","2,754.36","2,699.82","2,754.36","2,699.82","26.04B","2.68%"
"2019年2月15日","2,682.39","2,712.79","2,715.63","2,679.78","19.60B","-1.37%"
"2019年2月14日","2,719.70","2,715.54","2,729.45","2,707.49","19.70B","-0.05%"
"2019年2月13日","2,721.07","2,674.52","2,727.07","2,666.52","24.38B","1.84%"
"2019年2月12日","2,671.89","2,654.03","2,674.48","2,648.83","18.41B","0.68%"
"2019年2月11日","2,653.90","2,613.17","2,654.10","2,613.17","15.49B","1.36%"
"2019年2月1日","2,618.23","2,597.78","2,618.48","2,590.55","13.20B","1.30%"
"2019年1月31日","2,584.57","2,581.33","2,606.63","2,571.58","15.43B","0.35%"
"2019年1月30日","2,575.58","2,584.75","2,598.82","2,575.41","12.05B","-0.72%"
"2019年1月29日","2,594.25","2,592.35","2,601.74","2,559.98","15.56B","-0.11%"
"2019年1月28日","2,596.98","2,615.71","2,630.32","2,591.10","14.70B","-0.18%"
"2019年1月25日","2,601.72","2,596.26","2,617.00","2,595.63","15.94B","0.39%"
"2019年1月24日","2,591.69","2,584.65","2,597.29","2,569.70","15.40B","0.41%"
"2019年1月23日","2,581.00","2,575.26","2,589.51","2,572.41","13.14B","0.05%"
"2019年1月22日","2,579.70","2,609.64","2,609.64","2,573.06","15.25B","-1.18%"
"2019年1月21日","2,610.51","2,599.06","2,618.98","2,599.06","16.34B","0.56%"
"2019年1月18日","2,596.01","2,567.74","2,598.88","2,565.90","19.08B","1.42%"
"2019年1月17日","2,559.64","2,573.58","2,582.56","2,557.71","16.25B","-0.42%"
"2019年1月16日","2,570.42","2,569.07","2,574.24","2,563.01","14.93B","0.00%"
"2019年1月15日","2,570.34","2,537.37","2,571.50","2,532.43","16.03B","1.36%"
"2019年1月14日","2,535.77","2,553.33","2,556.29","2,533.01","14.48B","-0.71%"
"2019年1月11日","2,553.83","2,539.55","2,554.79","2,533.36","14.94B","0.74%"
"2019年1月10日","2,535.10","2,543.85","2,551.83","2,531.66","15.99B","-0.36%"
"2019年1月9日","2,544.34","2,536.42","2,574.41","2,536.16","19.19B","0.71%"
"2019年1月8日","2,526.46","2,530.30","2,531.34","2,520.16","15.81B","-0.26%"
"2019年1月7日","2,533.09","2,528.70","2,536.98","2,515.51","17.73B","0.72%"
"2019年1月4日","2,514.87","2,446.02","2,515.32","2,440.91","16.89B","2.05%"
"2019年1月3日","2,464.36","2,461.78","2,488.48","2,455.93","12.44B","-0.04%"
"2019年1月2日","2,465.29","2,497.88","2,500.28","2,456.42","10.99B","-1.15%"
"2018年12月28日","2,493.90","2,483.62","2,505.11","2,478.32","11.92B","0.44%"
"2018年12月27日","2,483.09","2,527.72","2,532.00","2,483.09","13.54B","-0.61%"
"2018年12月26日","2,498.29","2,501.12","2,513.83","2,492.08","10.88B","-0.26%"
"2018年12月25日","2,504.82","2,503.95","2,513.96","2,462.84","14.07B","-0.88%"
"2018年12月24日","2,527.01","2,506.74","2,529.44","2,500.44","9.73B","0.43%"
"2018年12月21日","2,516.25","2,526.55","2,527.42","2,498.69","11.57B","-0.79%"
"2018年12月20日","2,536.27","2,544.51","2,554.86","2,516.02","12.06B","-0.52%"
"2018年12月19日","2,549.56","2,578.68","2,579.87","2,547.08","10.77B","-1.05%"
"2018年12月18日","2,576.65","2,583.63","2,599.15","2,563.57","11.70B","-0.82%"
"2018年12月17日","2,597.97","2,587.26","2,598.97","2,573.87","11.74B","0.16%"
"2018年12月14日","2,593.74","2,627.28","2,629.16","2,593.74","14.59B","-1.53%"
"2018年12月13日","2,634.05","2,607.14","2,645.84","2,599.46","15.07B","1.23%"
"2018年12月12日","2,602.15","2,608.11","2,610.01","2,595.07","10.35B","0.31%"
"2018年12月11日","2,594.09","2,587.01","2,596.15","2,583.20","10.13B","0.37%"
"2018年12月10日","2,584.58","2,589.19","2,599.76","2,576.24","11.32B","-0.82%"
"2018年12月7日","2,605.89","2,609.34","2,614.58","2,599.28","10.91B","0.03%"
"2018年12月6日","2,605.18","2,629.82","2,633.68","2,603.13","14.17B","-1.68%"
"2018年12月5日","2,649.81","2,629.83","2,660.39","2,625.91","15.45B","-0.61%"
"2018年12月4日","2,665.96","2,651.56","2,666.08","2,644.90","16.79B","0.42%"
"2018年12月3日","2,654.80","2,647.13","2,665.30","2,629.18","20.75B","2.57%"
"2018年11月30日","2,588.19","2,564.56","2,590.21","2,555.32","13.93B","0.81%"
"2018年11月29日","2,567.44","2,613.78","2,617.55","2,567.44","15.72B","-1.32%"
"2018年11月28日","2,601.74","2,575.45","2,601.96","2,561.56","14.60B","1.05%"
"2018年11月27日","2,574.68","2,585.83","2,592.54","2,566.17","12.37B","-0.04%"
"2018年11月26日","2,575.81","2,580.84","2,595.00","2,568.04","13.43B","-0.14%"
"2018年11月23日","2,579.48","2,640.67","2,642.04","2,577.35","19.15B","-2.49%"
"2018年11月22日","2,645.43","2,655.90","2,658.00","2,634.48","14.93B","-0.23%"
"2018年11月21日","2,651.51","2,619.82","2,653.80","2,617.78","18.26B","0.21%"
"2018年11月20日","2,645.85","2,684.29","2,690.83","2,643.36","21.59B","-2.13%"
"2018年11月19日","2,703.51","2,681.90","2,703.51","2,674.18","23.17B","0.91%"
"2018年11月16日","2,679.11","2,669.78","2,695.57","2,657.03","24.22B","0.41%"
"2018年11月15日","2,668.17","2,632.14","2,668.17","2,631.89","20.78B","1.36%"
"2018年11月14日","2,632.24","2,648.31","2,658.31","2,627.96","23.84B","-0.85%"
"2018年11月13日","2,654.88","2,600.50","2,666.49","2,597.35","24.93B","0.93%"
"2018年11月12日","2,630.52","2,593.20","2,631.17","2,590.21","17.50B","1.22%"
"2018年11月9日","2,598.87","2,621.24","2,621.24","2,598.16","15.24B","-1.39%"
"2018年11月8日","2,635.63","2,660.09","2,662.37","2,632.30","15.96B","-0.22%"
"2018年11月7日","2,641.34","2,659.84","2,675.68","2,639.25","17.32B","-0.68%"
"2018年11月6日","2,659.36","2,660.72","2,660.86","2,635.32","16.37B","-0.23%"
"2018年11月5日","2,665.43","2,665.43","2,673.19","2,639.27","19.38B","-0.41%"
"2018年11月2日","2,676.48","2,649.25","2,676.48","2,628.87","22.50B","2.70%"
"2018年11月1日","2,606.24","2,617.03","2,636.80","2,603.65","20.09B","0.13%"
"2018年10月31日","2,602.78","2,573.01","2,612.92","2,567.03","18.06B","1.35%"
"2018年10月30日","2,568.05","2,538.57","2,586.92","2,521.78","16.67B","1.02%"
"2018年10月29日","2,542.10","2,593.59","2,595.54","2,529.19","13.42B","-2.18%"
"2018年10月26日","2,598.85","2,610.90","2,626.12","2,580.85","15.89B","-0.19%"
"2018年10月25日","2,603.80","2,540.93","2,606.10","2,531.53","16.20B","0.02%"
"2018年10月24日","2,603.30","2,579.97","2,640.40","2,577.77","16.01B","0.33%"
"2018年10月23日","2,594.83","2,652.65","2,659.81","2,583.26","17.83B","-2.26%"
"2018年10月22日","2,654.88","2,565.64","2,675.41","2,565.64","21.19B","4.09%"
"2018年10月19日","2,550.47","2,460.08","2,553.39","2,449.20","14.73B","2.58%"
"2018年10月18日","2,486.42","2,544.91","2,544.91","2,485.62","12.54B","-2.94%"
"2018年10月17日","2,561.61","2,574.31","2,582.55","2,517.57","13.00B","0.60%"
"2018年10月16日","2,546.33","2,567.76","2,597.72","2,536.44","11.94B","-0.85%"
"2018年10月15日","2,568.10","2,605.91","2,611.97","2,564.74","11.86B","-1.49%"
"2018年10月12日","2,606.91","2,574.04","2,615.92","2,536.67","17.01B","0.91%"
"2018年10月11日","2,583.46","2,643.07","2,661.29","2,560.32","19.72B","-5.22%"
"2018年10月10日","2,725.84","2,723.72","2,743.55","2,703.06","11.35B","0.18%"
"2018年10月9日","2,721.01","2,713.73","2,734.31","2,711.20","11.68B","0.17%"
"2018年10月8日","2,716.51","2,768.21","2,771.94","2,710.18","14.95B","-3.72%"
"2018年9月28日","2,821.35","2,794.26","2,821.76","2,791.84","13.43B","1.06%"
"2018年9月27日","2,791.77","2,805.79","2,810.51","2,786.32","12.40B","-0.54%"
"2018年9月26日","2,806.81","2,785.32","2,827.34","2,783.34","13.96B","0.92%"
"2018年9月25日","2,781.14","2,775.07","2,790.03","2,771.16","11.20B","-0.58%"
"2018年9月21日","2,797.48","2,733.87","2,797.49","2,722.03","15.80B","2.50%"
"2018年9月20日","2,729.24","2,732.17","2,743.96","2,724.08","11.14B","-0.06%"
"2018年9月19日","2,730.85","2,694.80","2,746.08","2,690.99","14.15B","1.14%"
"2018年9月18日","2,699.95","2,644.30","2,700.19","2,644.30","11.58B","1.82%"
"2018年9月17日","2,651.79","2,671.29","2,671.29","2,647.92","8.82B","-1.11%"
"2018年9月14日","2,681.64","2,688.78","2,694.92","2,675.29","10.00B","-0.18%"
"2018年9月13日","2,686.58","2,679.21","2,689.06","2,653.19","10.73B","1.15%"
"2018年9月12日","2,656.11","2,659.74","2,672.07","2,647.17","9.00B","-0.33%"
"2018年9月11日","2,664.80","2,668.49","2,680.57","2,652.70","9.99B","-0.18%"
"2018年9月10日","2,669.48","2,698.01","2,703.43","2,667.32","10.36B","-1.21%"
"2018年9月7日","2,702.30","2,696.68","2,728.55","2,683.72","10.75B","0.40%"
"2018年9月6日","2,691.59","2,697.58","2,719.41","2,683.74","9.90B","-0.47%"
"2018年9月5日","2,704.34","2,741.38","2,745.47","2,704.34","10.50B","-1.68%"
"2018年9月4日","2,750.58","2,720.65","2,756.61","2,712.38","10.90B","1.10%"
"2018年9月3日","2,720.73","2,716.40","2,722.85","2,692.36","10.22B","-0.17%"
"2018年8月31日","2,725.25","2,730.11","2,744.63","2,710.54","10.98B","-0.46%"
"2018年8月30日","2,737.74","2,769.33","2,780.53","2,736.35","10.61B","-1.14%"
"2018年8月29日","2,769.29","2,774.86","2,778.54","2,762.35","10.02B","-0.31%"
"2018年8月28日","2,777.98","2,782.29","2,791.39","2,769.40","11.87B","-0.10%"
"2018年8月27日","2,780.90","2,736.32","2,780.90","2,736.32","13.28B","1.89%"
"2018年8月24日","2,729.43","2,717.08","2,748.82","2,705.32","10.05B","0.18%"
"2018年8月23日","2,724.62","2,714.87","2,736.01","2,700.80","9.84B","0.37%"
"2018年8月22日","2,714.61","2,731.96","2,731.96","2,709.06","9.37B","-0.70%"
"2018年8月21日","2,733.83","2,700.34","2,739.17","2,696.29","11.36B","1.31%"
"2018年8月20日","2,698.47","2,673.07","2,698.47","2,653.11","11.08B","1.11%"
"2018年8月17日","2,668.97","2,723.89","2,730.33","2,665.59","11.24B","-1.34%"
"2018年8月16日","2,705.19","2,691.43","2,732.95","2,672.74","12.03B","-0.66%"
"2018年8月15日","2,723.26","2,777.25","2,777.70","2,721.24","11.62B","-2.07%"
"2018年8月14日","2,780.96","2,780.74","2,789.44","2,766.57","10.96B","-0.18%"
"2018年8月13日","2,785.87","2,769.02","2,789.80","2,742.56","12.75B","-0.34%"
"2018年8月10日","2,795.31","2,791.40","2,806.11","2,777.51","12.15B","0.03%"
"2018年8月9日","2,794.38","2,729.58","2,801.66","2,726.22","15.17B","1.83%"
"2018年8月8日","2,744.07","2,771.13","2,779.91","2,741.07","14.77B","-1.27%"
"2018年8月7日","2,779.37","2,711.74","2,779.37","2,696.04","14.96B","2.74%"
"2018年8月6日","2,705.16","2,736.53","2,760.47","2,692.32","12.98B","-1.29%"
"2018年8月3日","2,740.44","2,763.40","2,777.66","2,740.43","12.70B","-1.00%"
"2018年8月2日","2,768.02","2,815.34","2,815.34","2,726.48","17.42B","-2.00%"
"2018年8月1日","2,824.53","2,882.51","2,897.40","2,823.93","14.95B","-1.80%"
"2018年7月31日","2,876.40","2,866.90","2,884.68","2,854.32","11.89B","0.26%"
"2018年7月30日","2,869.05","2,871.94","2,896.01","2,850.30","15.17B","-0.16%"
"2018年7月27日","2,873.59","2,879.69","2,889.69","2,864.11","14.64B","-0.30%"
"2018年7月26日","2,882.23","2,905.79","2,915.30","2,875.70","16.84B","-0.74%"
"2018年7月25日","2,903.65","2,911.45","2,912.31","2,894.04","16.78B","-0.07%"
"2018年7月24日","2,905.56","2,862.27","2,911.46","2,862.27","22.96B","1.61%"
"2018年7月23日","2,859.54","2,815.20","2,863.57","2,809.62","17.34B","1.07%"
"2018年7月20日","2,829.27","2,769.75","2,837.86","2,753.84","14.59B","2.05%"
"2018年7月19日","2,772.55","2,791.02","2,805.01","2,764.49","11.45B","-0.53%"
"2018年7月18日","2,787.26","2,801.78","2,818.40","2,786.04","12.10B","-0.39%"
"2018年7月17日","2,798.13","2,806.89","2,806.92","2,774.76","10.54B","-0.57%"
"2018年7月16日","2,814.04","2,827.08","2,837.51","2,804.49","10.78B","-0.61%"
"2018年7月13日","2,831.18","2,831.43","2,835.46","2,818.85","11.77B","-0.23%"
"2018年7月12日","2,837.66","2,771.04","2,844.19","2,771.04","14.70B","2.16%"
"2018年7月11日","2,777.77","2,780.70","2,794.36","2,752.43","12.68B","-1.76%"
"2018年7月10日","2,827.63","2,819.71","2,828.49","2,800.63","11.71B","0.44%"
"2018年7月9日","2,815.11","2,752.45","2,815.79","2,752.45","12.15B","2.47%"
"2018年7月6日","2,747.23","2,731.35","2,768.87","2,691.02","13.63B","0.49%"
"2018年7月5日","2,733.88","2,755.34","2,777.52","2,727.94","12.92B","-0.92%"
"2018年7月4日","2,759.13","2,776.63","2,793.18","2,754.16","12.33B","-1.00%"
"2018年7月3日","2,786.89","2,774.57","2,786.89","2,722.45","14.25B","0.41%"
"2018年7月2日","2,775.56","2,841.58","2,845.68","2,756.82","13.70B","-2.52%"
"2018年6月29日","2,847.42","2,789.81","2,848.37","2,782.38","12.57B","2.17%"
"2018年6月28日","2,786.90","2,799.90","2,825.99","2,782.45","11.84B","-0.93%"
"2018年6月27日","2,813.18","2,842.40","2,854.26","2,798.80","12.94B","-1.10%"
"2018年6月26日","2,844.51","2,829.99","2,850.24","2,803.79","12.59B","-0.52%"
"2018年6月25日","2,859.34","2,903.45","2,908.62","2,857.87","12.19B","-1.05%"
"2018年6月22日","2,889.76","2,855.58","2,891.97","2,837.14","12.61B","0.49%"
