 ,0.032309201504747205,0
复盘,0.010134218014103085,0
股份,0.0064305465772925355,0
—,0.006333319974839567,0
科技,0.005998079861722166,0
今天,0.005551673848309076,0
市场,0.004633074120473866,0
明天,0.004474514607512933,0
股,0.004451514766072446,0
涨停,0.004357076023188022,1
龙头,0.004180395423031553,1
·,0.0036468687981014675,0
记录,0.003419658243265141,0
2019,0.003331492184409941,0
操作,0.0033300982546256687,0
实盘,0.0032680683792255675,0
打板,0.0031680539172040554,0
股市,0.002916798073589038,0
中国,0.0029091314597755424,0
大盘,0.002893798232148551,0
2018,0.0027812384020685916,0
行情,0.00277113241113262,0
股票,0.002746390157461793,0
板块,0.0026171031699705706,0
机会,0.002509770576581631,0
A股,0.0024867707351411443,0
概念,0.002420210587942159,0
10,0.0023832714486589526,0
关注,0.002319847643474579,0
买,0.0022630450047654974,0
创投,0.0021769698405867052,0
做,0.0021400307013034986,0
炒股,0.002101000667343884,0
资金,0.002034789002590967,0
科创板,0.0019361684703537272,0
反弹,0.001867865910924402,1
亿,0.0018114117546613883,0
交易,0.0018016542461714846,0
继续,0.0017985179041568728,0
分析,0.0017922452201276492,0
5G,0.001791548255235513,0
投资,0.001778654404730997,0
今日,0.001747987949477015,0
独角兽,0.0017051246086106527,0
题材,0.0017033821963803129,0
板,0.0016180039970936564,0
每日,0.0016092919359419569,0
下周,0.001602322287020597,0
个股,0.0015535347445710791,0
指数,0.0015423833062969035,0
11,0.0015298379382384561,0
公司,0.001528444008454184,0
最,0.001505444167013697,0
12,0.0014998684478766094,0
短线,0.0014482930458585474,0
利好,0.0014482930458585474,1
芯片,0.001408914529452865,0
走,0.0013785965566449503,0
华为,0.0013332938386561124,0
概念股,0.0013228393652740726,0
总结,0.0013092485498774212,0
炒,0.001292521392466158,0
老师,0.0012813699541919825,0
金融,0.001268824586133535,0
周一,0.0012482641218155238,0
早盘,0.0012392035782177561,0
贴,0.0012339763415267365,0
跌停,0.0012169007016694052,-1
下午,0.0011907645182143063,0
明日,0.0011709010187884311,0
20,0.0011705525363423632,0
妖股,0.0011702040538962952,1
热点,0.0011580071682839156,1
信息,0.001148946624686148,0
一下,0.0011423254582108562,0
汽车,0.0011315225023827487,0
能源,0.0011182801694321653,0
逻辑,0.0011165377572018255,0
错,0.0011064317662658537,0
技术,0.001103992389143378,0
牛市,0.00110224997691303,0
上海,0.0010928409508692023,0
重磅,0.0010893561264085224,1
游资,0.0010876137141781826,0
买入,0.0010827349599332307,1
知道,0.0010816895125950268,0
现在,0.001054856364247792,0
上市,0.00105172002223318,0
计划,0.0010489321626646361,0
军工,0.0010450988557578883,0
集团,0.0010423109961893444,0
已经,0.0010224474967634692,0
低吸,0.0010220990143174013,0
业绩,0.0010123415058274977,0
情绪,0.0009952658659701664,0
号,0.0009931749712937584,0
风险,0.000982023533019583,-1
消息,0.0009760993314364273,0
低价,0.0009750538840982233,0
涨停板,0.0009625085160397757,1
模式,0.000955538867118416,0
东方,0.0009377662623689489,0
转,0.000932539025677929,0
妖,0.0009314935783397251,1
预期,0.0009297511661093852,0
企业,0.0009154633858205977,0
调整,0.0009032665002082183,-1
想,0.0008889787199194308,0
15,0.0008746909396306435,0
证券,0.0008746909396306435,0
超跌,0.0008673728082632157,0
低位,0.0008670243258171478,0
周末,0.0008649334311407399,0
智能,0.000862842536464332,0
牛股,0.0008523880630822924,1
智慧,0.0008475093088373406,0
券商,0.0008464638614991367,0
核,0.0008447214492687967,0
创业板,0.0008363578705631651,0
贸易战,0.0008339184934406891,0
周期,0.0008335700109946212,0
